2025-07-02 19:28:58, Run: 210, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:04, Run: 211, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:10, Run: 212, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:15, Run: 213, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:21, Run: 214, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:26, Run: 215, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:32, Run: 216, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:37, Run: 217, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:43, Run: 218, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:48, Run: 219, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:54, Run: 220, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:29:59, Run: 221, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:05, Run: 222, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:11, Run: 223, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:16, Run: 224, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:22, Run: 225, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:28, Run: 226, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:34, Run: 227, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:39, Run: 228, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:45, Run: 229, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:50, Run: 230, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:30:56, Run: 231, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:01, Run: 232, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:06, Run: 233, Outcome: win, Duration: 1 seconds, Final PlayerHP: 387, Final BossHP: 0
2025-07-02 19:31:13, Run: 234, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:18, Run: 235, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:24, Run: 236, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:30, Run: 237, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:35, Run: 238, Outcome: loss, Duration: 0 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:41, Run: 239, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:47, Run: 240, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:52, Run: 241, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:31:58, Run: 242, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:04, Run: 243, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:09, Run: 244, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:14, Run: 245, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:20, Run: 246, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:26, Run: 247, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:31, Run: 248, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:37, Run: 249, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:42, Run: 250, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:48, Run: 251, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:32:54, Run: 252, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:00, Run: 253, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:05, Run: 254, Outcome: loss, Duration: 1 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:11, Run: 255, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:16, Run: 256, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:22, Run: 257, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:28, Run: 258, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:34, Run: 259, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:39, Run: 260, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:45, Run: 261, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:51, Run: 262, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:33:56, Run: 263, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:34:02, Run: 264, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:34:08, Run: 265, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:34:13, Run: 266, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:34:19, Run: 267, Outcome: loss, Duration: 3 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:34:24, Run: 268, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
2025-07-02 19:34:29, Run: 269, Outcome: loss, Duration: 2 seconds, Final PlayerHP: 0, Final BossHP: 1037
